GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JacocoIntegratedReport/InternalServices,com.jswone.priceadmin.dao.impl,JODLMarginDaoImpl,63,0,0,0,15,0,4,0,4,0
JacocoIntegratedReport/InternalServices,com.jswone.priceadmin.dao.impl,QuantityBasedDaoImpl,65,0,0,0,19,0,6,0,6,0
JacocoIntegratedReport/InternalServices,com.jswone.priceadmin.dao.impl,BasePriceDaoImpl,87,0,0,0,25,0,8,0,8,0
JacocoIntegratedReport/InternalServices,com.jswone.priceadmin.dao.impl,UriRolesDaoImpl,12,0,0,0,3,0,2,0,2,0
JacocoIntegratedReport/InternalServices,com.jswone.priceadmin.dao.impl,AttributeDaoImpl,0,101,0,0,0,27,0,7,0,7
JacocoIntegratedReport/InternalServices,com.jswone.priceadmin.dao.impl,ConditionDaoImpl,61,0,0,0,17,0,6,0,6,0
JacocoIntegratedReport/InternalServices,com.jswone.priceadmin.exceptions,NoSuchElementFoundException,7,16,0,0,3,6,2,2,2,2
JacocoIntegratedReport/InternalServices,com.jswone.priceadmin.exceptions,ValidationException,17,19,0,0,6,7,2,3,2,3
JacocoIntegratedReport/InternalServices,com.jswone.priceadmin.exceptions,BadRequestException,4,0,0,0,2,0,1,0,1,0
JacocoIntegratedReport/InternalServices,com.jswone.priceadmin.exceptions,TokenInValidException,4,0,0,0,2,0,1,0,1,0
JacocoIntegratedReport/InternalServices,com.jswone.priceadmin.exceptions,GcpUploadFileException,5,0,0,0,2,0,1,0,1,0
JacocoIntegratedReport/InternalServices,com.jswone.priceadmin.util,JODLMarginMappingUtility,121,0,0,0,39,0,5,0,5,0
JacocoIntegratedReport/InternalServices,com.jswone.priceadmin.util,BasePriceUtil,1102,0,100,0,251,0,66,0,16,0
JacocoIntegratedReport/InternalServices,com.jswone.priceadmin.util,ConditionGenerationUtil,137,0,0,0,26,0,6,0,6,0
JacocoIntegratedReport/InternalServices,com.jswone.priceadmin.util,QuantityDiscountUtility,7,0,0,0,2,0,2,0,2,0
JacocoIntegratedReport/InternalServices,com.jswone.priceadmin.util,BASE64DecodedMultipartFile,45,0,4,0,12,0,11,0,9,0
JacocoIntegratedReport/InternalServices,com.jswone.priceadmin.util,JWTTokenUtility,42,0,0,0,17,0,4,0,4,0
JacocoIntegratedReport/InternalServices,com.jswone.priceadmin.service.impl,BasePriceServiceImpl,368,0,14,0,90,0,18,0,11,0
JacocoIntegratedReport/InternalServices,com.jswone.priceadmin.service.impl,GcpStorageServiceImpl,123,0,0,0,29,0,5,0,5,0
JacocoIntegratedReport/InternalServices,com.jswone.priceadmin.service.impl,AttributeServiceImpl,12,154,0,6,3,37,1,7,1,4
JacocoIntegratedReport/InternalServices,com.jswone.priceadmin.service.impl,UriRoleServiceImpl,108,0,10,0,18,0,10,0,5,0
JacocoIntegratedReport/InternalServices,com.jswone.priceadmin.service.impl,QuantityBasedDiscountServiceImpl,345,0,6,0,80,0,13,0,10,0
JacocoIntegratedReport/InternalServices,com.jswone.priceadmin.service.impl,JODLMarginServiceImpl,137,0,6,0,29,0,7,0,4,0
JacocoIntegratedReport/PriceAdminWeb,com.jswone.priceadmin.controller,AttributeController,0,37,0,0,0,8,0,5,0,5
JacocoIntegratedReport/PriceAdminWeb,com.jswone.priceadmin.controller,BasePriceController,0,56,0,0,0,14,0,4,0,4
JacocoIntegratedReport/PriceAdminWeb,com.jswone.priceadmin.controller,QuantityDiscountController,0,20,0,0,0,4,0,4,0,4
JacocoIntegratedReport/PriceAdminWeb,com.jswone.priceadmin.controller,JODLMarginController,0,29,0,0,0,6,0,4,0,4
